Constructors,constructor_mean_GMS,puzzle_count_GMS
Nathan Hasegawa,-14.0,1
Ned White,8.8,5
Neil Padrick Wilson,-14.0,2
Neil Shook,4.0,1
Neville Fogarty,-4.25,4
Nina Sloan,-33.0,1
Noki Trias and Lawrence Barrett,11.0,1
Oliver Roeder,15.0,2
Olivia Mitra Framke,-22.0,8
Ori Brian,-28.57,7
Ori Brian and Zachary Spitz,-33.0,1
Owen Travis,-19.0,1
Pamela F. Davis,20.0,1
Pao Roy,-17.5,4
Paolo Pasco,-6.57,7
Paolo Pasco and Adam Aaronson,-17.0,1
Paolo Pasco and Wyna Liu ,-3.0,1
Parker Higgins,12.0,1
Patrick Berry,-4.5,2
Patrick Blindauer,-34.0,1
Patrick Blindauer and Samuel A. Donaldson,-21.0,1
Patrick Blindauer and Tony Orbach,-39.0,1
Patrick John Duggan,18.5,2
Patrick Merrell,-21.0,4
Patrick Merrell and John Ficarra,-22.0,1
Paul Coulter,10.75,3
Peter A. Collins,-0.57,14
Peter A. Collins and Bruce Haight,7.67,3
Peter Gordon,4.95,22
Peter Koetters,-2.33,3
Peter Wentz,-5.83,12
Philip K. Chow,-14.0,1
Philip Koski,-15.5,2
Philip Wolfe,-23.0,1
Phoebe Gordon,5.0,1
Portia Lundie,1.0,1
Rachel Fabi,-24.5,2
Rachel Fabi and Claire Rimkus,-10.0,1
Rachel Fabi and Ken Stern,-4.0,1
Rachel Simon,-14.0,1
Rafael Musa,-15.75,4
Randolph Ross,0.83,12
Ray Brunsberg and Ellen Brunsberg,1.0,1
Rebecca Goldstein,-21.0,8
Rebecca Goldstein and Rachel Fabi,-24.5,2
Rebecca Goldstein and Rafael Musa,-17.0,1
Rebecca Goldstein and Shannon Rapp ,-16.0,1
Rich Katz,-10.33,2
Rich Norris,73.0,1
Rich Proulx,5.5,6
Richard Crowe,-9.0,1
Richard D. Allen,22.0,1
Richard F. Mausser,2.0,1
Ricky Cruz,-28.33,6
Ricky J. Sirois,3.0,1
Rob Baker,-5.0,1
Robert Charlton,-9.0,1
Robert Fisher,28.0,1
Robert Logan,-8.25,4
Robert Ryan,6.0,3
Robert S. Gard,1.0,1
Robert S. Greenfield,-20.0,1
Robert Won,-27.0,1
Robin Yu,-11.5,2
Robyn Weintraub,-18.82,33
Roland Huget,2.5,4
Rose Conlon,-17.0,1
Ross Trudeau,-12.68,29
Ross Trudeau and Amanda Rafkin,-15.5,7
Ross Trudeau and Christina Iverson,-12.0,1
Ross Trudeau and Garry Trudeau ,-17.0,1
Ross Trudeau and Jessie Trudeau,-10.8,5
Ross Trudeau and Lindsey Hobbs,-14.0,1
Ross Trudeau and Lucy Howard,-4.0,2
Ross Trudeau and Parker Higgins,-17.0,1
Ross Trudeau and Sophie Buchmueller,-13.0,1
Ross Trudeau and Wyna Liu,15.0,1
Roy Greim,-26.0,1
Royce Ferguson,-6.67,3
Ruth Bloomfield Margolin,-5.5,8
Ryan McCarty,3.0,23
Ryan McCarty and Alan Southworth,-27.0,1
